"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1418756266.590236,0,433,0,0,no,0.892198
36019,,1237239272.169538,1236791736.489422,0,399,0,0,no,0.999638
35996,,50951574.541953,50967777.225432,0,200,0,0,yes,1.000000
35869,,3335158994.076453,2267734905.425804,0,809,0,0,no,0.679948
35606,,421941466.431933,422266021.027266,0,123,0,0,yes,1.000000
35513,,2890873.625675,2550945.986006,0,3,0,0,no,0.882414
35448,,1075976308.578468,1076214688.677266,0,591,0,0,yes,1.000000
35403,,2142602270.976034,1939175264.914938,0,719,0,0,no,0.905056
35361,,2017431172.717425,2014230494.472898,0,508,0,0,no,0.998413
35339,,1071733753.634975,830961194.862228,0,316,0,0,no,0.775343
35312,,867671139.857339,864704966.754308,0,360,0,0,no,0.996581
35279,,135938815.722177,82862365.771687,0,62,0,0,no,0.609556
35256,,92968818.034944,92397127.162816,0,166,0,0,no,0.993851
35234,,120041683.997583,119449354.693708,0,261,0,0,no,0.995066
35213,,839182004.496033,777414271.691190,0,424,0,0,no,0.926395
35176,,45506151.951478,46887556.211160,0,140,0,0,yes,1.000000
35154,,143827243.891084,140873516.343665,0,323,0,0,no,0.979463
35132,,212684110.431018,210796909.466772,0,254,0,0,no,0.991127
