spid,penalty
36040,1.44449e+09
36019,7.98425e+08
35996,2.41671e+08
35869,3.85916e+09
35606,2.96933e+08
35513,1.30673e+08
35448,6.81962e+08
35403,1.69268e+09
35361,1.014e+09
35339,1.16737e+09
35312,5.51143e+08
35279,2.22552e+08
35256,1.80951e+08
35234,1.91458e+08
35213,9.00443e+08
35176,9.25938e+07
35154,1.24e+08
35132,5.59682e+08
