"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1414771497.461576,0,435,0,0,no,0.889693
36019,,1237239272.169538,1237227651.212225,0,396,0,0,no,0.999991
35996,,50951574.541953,51057989.906245,0,193,0,0,yes,1.000000
35869,,3335158994.076453,2268422114.029916,0,805,0,0,no,0.680154
35606,,421941466.431933,422296227.085928,0,123,0,0,yes,1.000000
35513,,2890873.625675,2531033.403509,0,3,0,0,no,0.875525
35448,,1075976308.578468,1076581253.131907,0,590,0,0,yes,1.000000
35403,,2142602270.976034,1939055869.605582,0,721,0,0,no,0.905000
35361,,2017431172.717425,2015668048.684038,0,508,0,0,no,0.999126
35339,,1071733753.634975,830722015.077658,0,315,0,0,no,0.775120
35312,,867671139.857339,867293614.090358,0,362,0,0,no,0.999565
35279,,135938815.722177,82144894.392272,0,63,0,0,no,0.604278
35256,,92968818.034944,92745873.787782,0,169,0,0,no,0.997602
35234,,120041683.997583,119141162.277944,0,261,0,0,no,0.992498
35213,,839182004.496033,774734246.634541,0,422,0,0,no,0.923202
35176,,45506151.951478,48083074.164184,0,142,0,0,yes,1.000000
35154,,143827243.891084,143135666.657937,0,322,0,0,no,0.995192
35132,,212684110.431018,206313346.158219,0,252,0,0,no,0.970046
