"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1410780283.702322,0,434,0,0,no,0.887183
36019,,1237239272.169538,1239561748.646529,0,397,0,0,yes,1.000000
35996,,50951574.541953,50937985.410663,0,195,0,0,no,0.999733
35869,,3335158994.076453,2280180959.771149,0,808,0,0,no,0.683680
35606,,421941466.431933,422266045.856351,0,123,0,0,yes,1.000000
35513,,2890873.625675,2531033.403509,0,3,0,0,no,0.875525
35448,,1075976308.578468,1074764665.685806,0,590,0,0,no,0.998874
35403,,2142602270.976034,1931811654.936620,0,718,0,0,no,0.901619
35361,,2017431172.717425,2015665315.101641,0,508,0,0,no,0.999125
35339,,1071733753.634975,830094148.494281,0,314,0,0,no,0.774534
35312,,867671139.857339,862574206.320750,0,363,0,0,no,0.994126
35279,,135938815.722177,84267140.136974,0,65,0,0,no,0.619890
35256,,92968818.034944,92905206.132833,0,166,0,0,no,0.999316
35234,,120041683.997583,119887931.888492,0,256,0,0,no,0.998719
35213,,839182004.496033,772442381.654442,0,419,0,0,no,0.920471
35176,,45506151.951478,48531665.383422,0,141,0,0,yes,1.000000
35154,,143827243.891084,140913440.222736,0,323,0,0,no,0.979741
35132,,212684110.431018,207369082.970807,0,251,0,0,no,0.975010
