"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1418746821.852955,0,434,0,0,no,0.892192
36019,,1237239272.169538,1237148024.625327,0,394,0,0,no,0.999926
35996,,50951574.541953,51535847.299277,0,196,0,0,yes,1.000000
35869,,3335158994.076453,2261397116.538676,0,803,0,0,no,0.678048
35606,,421941466.431933,421827460.478441,0,123,0,0,no,0.999730
35513,,2890873.625675,2531033.403509,0,3,0,0,no,0.875525
35448,,1075976308.578468,1073613961.023630,0,588,0,0,no,0.997804
35403,,2142602270.976034,1941775621.702553,0,718,0,0,no,0.906270
35361,,2017431172.717425,2015661621.046484,0,508,0,0,no,0.999123
35339,,1071733753.634975,832754593.375946,0,318,0,0,no,0.777016
35312,,867671139.857339,865231623.811325,0,357,0,0,no,0.997188
35279,,135938815.722177,82065184.777457,0,63,0,0,no,0.603692
35256,,92968818.034944,92606108.882490,0,167,0,0,no,0.996099
35234,,120041683.997583,119589260.272392,0,252,0,0,no,0.996231
35213,,839182004.496033,773488839.804098,0,422,0,0,no,0.921718
35176,,45506151.951478,48990124.871531,0,142,0,0,yes,1.000000
35154,,143827243.891084,142377920.810643,0,318,0,0,no,0.989923
35132,,212684110.431018,207947012.000585,0,251,0,0,no,0.977727
