id1	id2	boundary
1	1	6580.0
1	9	4387.0
1	10	4387.0
1	24	4387.0
2	2	6580.0
2	10	4387.0
2	11	4387.0
2	25	4387.0
3	3	6580.0
3	11	4387.0
3	12	4387.0
3	26	4387.0
4	4	6580.0
4	18	4387.0
4	19	4387.0
4	40	4387.0
5	5	6580.0
5	19	4387.0
5	20	4387.0
5	41	4387.0
6	6	6580.0
6	20	4387.0
6	21	4387.0
6	42	4387.0
7	7	6580.0
7	21	4387.0
7	22	4387.0
7	43	4387.0
8	8	6580.0
8	22	4387.0
8	23	4387.0
8	44	4387.0
9	9	4387.0
9	23	4387.0
9	24	4387.0
9	45	4387.0
10	10	2193.0
10	24	4387.0
10	25	4387.0
10	46	4387.0
11	11	2193.0
11	25	4387.0
11	26	4387.0
11	47	4387.0
12	12	4387.0
12	26	4387.0
12	27	4387.0
12	48	4387.0
13	13	6580.0
13	34	4387.0
13	35	4387.0
13	57	4387.0
14	14	6580.0
14	35	4387.0
14	36	4387.0
14	58	4387.0
15	15	6580.0
15	36	4387.0
15	37	4387.0
15	59	4387.0
16	16	6580.0
16	37	4387.0
16	38	4387.0
16	60	4387.0
17	17	6580.0
17	38	4387.0
17	39	4387.0
17	61	4387.0
18	18	4387.0
18	39	4387.0
18	40	4387.0
18	62	4387.0
19	19	2193.0
19	40	4387.0
19	41	4387.0
19	63	4387.0
20	20	2193.0
20	41	4387.0
20	42	4387.0
20	64	4387.0
21	21	2193.0
21	42	4387.0
21	43	4387.0
21	65	4387.0
22	22	2193.0
22	43	4387.0
22	44	4387.0
22	66	4387.0
23	23	2193.0
23	44	4387.0
23	45	4387.0
23	67	4387.0
24	45	4387.0
24	46	4387.0
24	68	4387.0
25	46	4387.0
25	47	4387.0
25	69	4387.0
26	47	4387.0
26	48	4387.0
26	70	4387.0
27	27	4387.0
27	48	4387.0
27	49	4387.0
27	71	4387.0
28	28	6580.0
28	49	4387.0
28	50	4387.0
28	72	4387.0
29	29	6580.0
29	51	4387.0
29	52	4387.0
29	76	4387.0
30	30	6580.0
30	52	4387.0
30	53	4387.0
30	77	4387.0
31	31	6580.0
31	53	4387.0
31	54	4387.0
31	78	4387.0
32	32	6580.0
32	54	4387.0
32	55	4387.0
32	79	4387.0
33	33	6580.0
33	55	4387.0
33	56	4387.0
33	80	4387.0
34	34	4387.0
34	56	4387.0
34	57	4387.0
34	81	4387.0
35	35	2193.0
35	57	4387.0
35	58	4387.0
35	82	4387.0
36	36	2193.0
36	58	4387.0
36	59	4387.0
36	83	4387.0
37	37	2193.0
37	59	4387.0
37	60	4387.0
37	84	4387.0
38	38	2193.0
38	60	4387.0
38	61	4387.0
38	85	4387.0
39	39	2193.0
39	61	4387.0
39	62	4387.0
39	86	4387.0
40	62	4387.0
40	63	4387.0
40	87	4387.0
41	63	4387.0
41	64	4387.0
41	88	4387.0
42	64	4387.0
42	65	4387.0
42	89	4387.0
43	65	4387.0
43	66	4387.0
43	90	4387.0
44	66	4387.0
44	67	4387.0
44	91	4387.0
45	67	4387.0
45	68	4387.0
45	92	4387.0
46	68	4387.0
46	69	4387.0
46	93	4387.0
47	69	4387.0
47	70	4387.0
47	94	4387.0
48	70	4387.0
48	71	4387.0
48	95	4387.0
49	49	2193.0
49	71	4387.0
49	72	4387.0
49	96	4387.0
50	50	4387.0
50	72	4387.0
50	73	4387.0
50	97	4387.0
51	51	4387.0
51	75	4387.0
51	76	4387.0
51	103	4387.0
52	52	2193.0
52	76	4387.0
52	77	4387.0
52	104	4387.0
53	53	2193.0
53	77	4387.0
53	78	4387.0
53	105	4387.0
54	54	2193.0
54	78	4387.0
54	79	4387.0
54	106	4387.0
55	55	2193.0
55	79	4387.0
55	80	4387.0
55	107	4387.0
56	56	2193.0
56	80	4387.0
56	81	4387.0
56	108	4387.0
57	81	4387.0
57	82	4387.0
57	109	4387.0
58	82	4387.0
58	83	4387.0
58	110	4387.0
59	83	4387.0
59	84	4387.0
59	111	4387.0
60	84	4387.0
60	85	4387.0
60	112	4387.0
61	85	4387.0
61	86	4387.0
61	113	4387.0
62	86	4387.0
62	87	4387.0
62	114	4387.0
63	87	4387.0
63	88	4387.0
63	115	4387.0
64	88	4387.0
64	89	4387.0
64	116	4387.0
65	89	4387.0
65	90	4387.0
65	117	4387.0
66	90	4387.0
66	91	4387.0
66	118	4387.0
67	91	4387.0
67	92	4387.0
67	119	4387.0
68	92	4387.0
68	93	4387.0
68	120	4387.0
69	93	4387.0
69	94	4387.0
69	121	4387.0
70	94	4387.0
70	95	4387.0
70	122	4387.0
71	95	4387.0
71	96	4387.0
71	123	4387.0
72	96	4387.0
72	97	4387.0
72	124	4387.0
73	73	4387.0
73	97	4387.0
73	98	4387.0
73	125	4387.0
74	74	6580.0
74	98	4387.0
74	99	4387.0
74	126	4387.0
75	75	4387.0
75	102	4387.0
75	103	4387.0
