"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
4361820,,7948945.446943,21600992.922000,0,2,0,0,yes,1.000000
4361818,,185868955.447226,255345179.232500,0,13,0,0,yes,1.000000
4361794,,2882061.849598,4894640.386970,0,6,0,0,yes,1.000000
4361793,,1126599.673114,2285815.015000,0,1,0,0,yes,1.000000
4361792,,3023351.433488,3567473.895700,0,2,0,0,yes,1.000000
4361790,,3485980.025518,4911860.318700,0,2,0,0,yes,1.000000
4361788,,187886.065182,591400.367100,0,1,0,0,yes,1.000000
4361787,,59446.772211,61247.699610,0,1,0,0,yes,1.000000
4361776,,4320161.074814,4616873.146000,0,2,0,0,yes,1.000000
4361774,,3478078.870803,4940094.099000,0,1,0,0,yes,1.000000
4361773,,459311.256639,758605.556500,0,2,0,0,yes,1.000000
4361772,,1241833.031584,1311862.083000,0,1,0,0,yes,1.000000
4361703,,7435411.093550,11073136.816120,0,8,0,0,yes,1.000000
4361701,,10369137.014190,14359571.636900,0,3,0,0,yes,1.000000
4361700,,16322579.594019,34021135.873250,0,11,0,0,yes,1.000000
4361698,,4802648.447308,12703582.924726,0,10,0,0,yes,1.000000
4361696,,5229877.360352,7698350.607083,0,10,0,0,yes,1.000000
4361695,,118615.702480,410641.762700,0,1,0,0,yes,1.000000
4361693,,854744.770633,909538.256130,0,3,0,0,yes,1.000000
4361691,,2509982.011570,10139143.859400,0,3,0,0,yes,1.000000
4361690,,5536706.394725,5875063.580000,0,2,0,0,yes,1.000000
4361688,,45007.371109,47761.386460,0,1,0,0,yes,1.000000
4361687,,444225.221604,518099.957500,0,2,0,0,yes,1.000000
4361619,,1564961.886751,2013757.706704,0,7,0,0,yes,1.000000
4361617,,482842.800590,4665333.136400,0,2,0,0,yes,1.000000
4361616,,923553.608827,6410370.588100,0,4,0,0,yes,1.000000
4361615,,5213.637214,52136.372140,0,1,0,0,yes,1.000000
4361611,,515423.649500,4142734.417000,0,1,0,0,yes,1.000000
4361603,,548946.958990,1004267.299000,0,2,0,0,yes,1.000000
4361598,,86297.138110,862971.381100,0,1,0,0,yes,1.000000
