"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
4361820,,7948945.446943,31048380.597700,0,4,0,0,yes,1.000000
4361818,,185868955.447226,195875889.713500,0,13,0,0,yes,1.000000
4361794,,2882061.849598,4851498.994400,0,4,0,0,yes,1.000000
4361793,,1126599.673114,1282551.551787,0,2,0,0,yes,1.000000
4361792,,3023351.433488,3813556.060000,0,1,0,0,yes,1.000000
4361790,,3485980.025518,7171337.467000,0,2,0,0,yes,1.000000
4361788,,187886.065182,591400.367100,0,1,0,0,yes,1.000000
4361787,,59446.772211,61247.699610,0,1,0,0,yes,1.000000
4361776,,4320161.074814,4616873.146000,0,2,0,0,yes,1.000000
4361774,,3478078.870803,5635708.020100,0,2,0,0,yes,1.000000
4361773,,459311.256639,758605.556500,0,2,0,0,yes,1.000000
4361772,,1241833.031584,1616502.575000,0,2,0,0,yes,1.000000
4361703,,7435411.093550,8133669.080580,0,9,0,0,yes,1.000000
4361701,,10369137.014190,11778811.964900,0,4,0,0,yes,1.000000
4361700,,16322579.594019,37663775.649950,0,11,0,0,yes,1.000000
4361698,,4802648.447308,8336078.448100,0,6,0,0,yes,1.000000
4361696,,5229877.360352,10437340.239000,0,10,0,0,yes,1.000000
4361695,,118615.702480,410641.762700,0,1,0,0,yes,1.000000
4361693,,854744.770633,1829762.004100,0,2,0,0,yes,1.000000
4361691,,2509982.011570,7006557.935000,0,2,0,0,yes,1.000000
4361690,,5536706.394725,6925218.157000,0,1,0,0,yes,1.000000
4361688,,45007.371109,55585.041858,0,2,0,0,yes,1.000000
4361687,,444225.221604,1825014.290800,0,2,0,0,yes,1.000000
4361619,,1564961.886751,1621812.801334,0,6,0,0,yes,1.000000
4361617,,482842.800590,4511640.595000,0,1,0,0,yes,1.000000
4361616,,923553.608827,5340976.256000,0,2,0,0,yes,1.000000
4361615,,5213.637214,52136.372140,0,1,0,0,yes,1.000000
4361611,,515423.649500,4142734.417000,0,1,0,0,yes,1.000000
4361603,,548946.958990,1004267.299000,0,2,0,0,yes,1.000000
4361598,,86297.138110,862971.381100,0,1,0,0,yes,1.000000
4361583,,756433.372057,1090908.321252,0,6,0,0,yes,1.000000
