"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
4361820,,7948945.446943,16644222.683000,0,2,0,0,yes,1.000000
4361818,,185868955.447226,245320476.472000,0,16,0,0,yes,1.000000
4361794,,2882061.849598,6283638.509340,0,7,0,0,yes,1.000000
4361793,,1126599.673114,1614705.979000,0,2,0,0,yes,1.000000
4361792,,3023351.433488,3785248.910000,0,3,0,0,yes,1.000000
4361790,,3485980.025518,5109753.201200,0,3,0,0,yes,1.000000
4361788,,187886.065182,591400.367100,0,1,0,0,yes,1.000000
4361787,,59446.772211,61247.699610,0,1,0,0,yes,1.000000
4361776,,4320161.074814,4616873.146000,0,2,0,0,yes,1.000000
4361774,,3478078.870803,8745089.903110,0,3,0,0,yes,1.000000
4361773,,459311.256639,655045.434100,0,1,0,0,yes,1.000000
4361772,,1241833.031584,2132805.352300,0,3,0,0,yes,1.000000
4361703,,7435411.093550,13737630.174220,0,11,0,0,yes,1.000000
4361701,,10369137.014190,10706563.384300,0,6,0,0,yes,1.000000
4361700,,16322579.594019,62633392.783050,0,17,0,0,yes,1.000000
4361698,,4802648.447308,16491100.496400,0,11,0,0,yes,1.000000
4361696,,5229877.360352,16373678.177853,0,16,0,0,yes,1.000000
4361695,,118615.702480,775515.262100,0,1,0,0,yes,1.000000
4361693,,854744.770633,2081107.072330,0,4,0,0,yes,1.000000
4361691,,2509982.011570,19984762.753400,0,5,0,0,yes,1.000000
4361690,,5536706.394725,5511912.349000,0,2,0,0,yes,0.995522
4361688,,45007.371109,47761.386460,0,1,0,0,yes,1.000000
4361687,,444225.221604,1569305.172000,0,1,0,0,yes,1.000000
4361619,,1564961.886751,1619667.753047,0,8,0,0,yes,1.000000
4361617,,482842.800590,4511640.595000,0,1,0,0,yes,1.000000
4361616,,923553.608827,5340976.256000,0,2,0,0,yes,1.000000
4361615,,5213.637214,52136.372140,0,1,0,0,yes,1.000000
