id,cost
60315,41073
60316,9221
60317,5018
60318,49702
60319,34868
60320,34750
60321,4412
60322,2652
60323,598
60329,103
60330,29896
60331,6521
60332,17701
60333,30651
60334,22236
60335,20325
60336,39484
60337,45410
60338,35093
60339,15783
60341,27545
60342,1919
60347,2228
60451,24495
60452,95051
60453,31733
60454,3891
60455,18176
60456,23959
60457,11634
60459,2931
60505,14849
60506,67084
60507,81563
60508,11199
60513,15853
60884,13157
60885,11436
60886,1342
60887,5365
60888,31885
60889,49608
60890,77489
60891,44895
60919,3278
60920,59794
60921,130138
60922,35469
60926,100
60927,1900
60928,104660
60929,106967
60930,48951
60931,3434
61129,100
61130,107
61131,104
61167,417
61168,122721
61169,12650
61194,13334
61195,19442
61196,127704
61197,22567
61198,22912
61199,80657
61200,121
61201,18305
61202,25287
61203,13461
61204,2458
61205,2339
61206,2923
61207,4783
61208,3202
61209,100
61210,101
61221,145
61222,1717
61223,90305
61224,1981
61225,8658
61226,41324
61227,74773
61228,18017
61229,3114
61230,36879
61237,30036
61342,1506
61343,3856
61344,5010
61345,4809
61347,57534
61348,19179
61350,88022
61396,124804
61397,157923
61398,256623
61399,14393
61774,12429
61775,4011
61782,35786
61783,152212
61811,34244
61812,55427
61813,31076
61814,58767
61815,58749
61816,100
61817,100
61819,15294
61820,210018
61821,98949
61822,20725
61823,5314
61824,1141
62020,52470
62021,154166
62022,51292
62058,18053
62059,579178
62060,359004
62082,97517
62083,11887
62084,218549
62085,303248
62086,58376
62087,18796
62088,27195
62089,13675
62090,118
62091,122
62092,337
62093,223
62094,189
62109,474
62111,132
62118,1086
62119,1096
62120,3948
62121,33023
62122,4040
62237,14539
62238,36917
62240,13969
62241,48490
62282,3557
62283,7732
62288,46383
62664,10329
62665,10222
62674,248801
62704,34921
62705,98543
62706,129747
62707,19750
62708,100
62715,7885
62716,604
62909,8258
62910,59506
62911,120884
62912,50806
62913,4847
62915,6841
62919,68586
62920,41137
62921,3417
62922,18501
62948,4120
62949,14243
62950,473305
62951,450363
62952,51513
62971,38703
62972,138420
62973,119311
62974,52460
62975,6020
62976,2269
62978,3671
62979,4141
62984,102
62997,162
62998,157
62999,1614
63000,255
63008,1212
63009,27836
63010,3334
63011,15021
63013,10679
63174,59129
63177,30481
63553,895
63554,26920
63555,54181
63564,33783
63565,110554
63596,16084
63597,100
63606,1003
63607,14018
63608,1921
63792,100
63800,8249
63801,56862
63802,367601
63803,154409
63804,11658
63810,2986
63811,226324
63812,61228
63813,12197
63815,11448
63816,22413
63817,6701
63831,13997
63839,6805
63840,2259
63841,1840
63842,7432
63862,102642
63863,41690
63864,8120
63869,100
63870,130
63888,112
63899,21889
63900,53874
63901,64784
63902,18290
63903,15432
63904,19431
64006,17786
64007,5937
64008,10369
64023,33204
64082,77008
64443,7073
64444,14253
64445,1583
64454,33793
64455,22341
64487,52590
64488,5290
64499,20200
64500,9933
64685,100
64691,39077
64692,25442
64693,9356
64694,7045
64695,166241
64696,58006
64699,3367
64700,15640
64702,97192
64703,41109
64705,2480
64706,5063
64707,10312
64708,16027
64709,11645
64710,22347
64711,29603
64712,33733
64713,24302
64714,63883
64715,4054
64716,33697
64717,3037
64733,109
64752,55596
64753,79969
64754,2739
64778,155
64779,1656
64789,2956
64790,7352
64791,31903
64792,7949
64794,1301
64795,3658
64896,3015
64897,12832
64898,6368
64899,2779
64900,10094
64901,68471
64902,144187
64914,18278
64960,3495
64971,30354
64972,109404
64973,16604
65328,6191
65329,53426
65330,51636
65331,32917
65332,42053
65333,43352
65334,39438
65344,8944
65345,10165
65378,18941
65379,14484
65391,17608
65392,4102
65576,5165
65582,28717
65583,64731
65584,769
65585,2475
65586,29501
65587,220269
65589,3609
65590,22672
65593,22635
65594,206163
65595,843
65597,9411
65598,12872
65599,12573
65600,11352
65601,65838
65602,22408
65603,37469
65604,38337
65605,47549
65606,58648
65607,2617
65608,1493
65623,100
65641,100
65643,112333
65644,39331
65669,45753
65670,39861
65671,19809
65672,3698
65680,30760
65681,98939
65682,23685
65781,9853
65782,355
65783,553
65784,1237
65785,30623
65786,38688
65787,15548
65792,77290
65793,58556
65805,48919
65862,94055
65863,23212
66218,62901
66219,19628
66220,1529
66223,108
66232,19900
66233,2992
66234,18680
66235,19284
66269,6515
66270,56673
66283,40039
66284,136069
66289,123
66473,6576
66474,18088
66475,660
66476,289
66477,18645
66478,12922
66481,1311
66483,100
66484,4503
66485,107017
66486,183679
66489,3270
66490,6529
66491,17379
66492,118859
66493,59587
66494,37948
66495,683
66496,8425
66497,65049
66498,147
66499,123
66505,23934
66527,100
66533,38805
66534,54386
66535,1631
66562,100
66563,74392
66570,3304
66571,23430
66572,47882
66573,51305
66574,38148
66670,9173
66671,29237
66681,246
66682,18741
66683,15849
66690,43068
66691,38710
66696,24954
67108,46943
67109,13317
67122,22184
67123,17796
67124,34854
67125,21741
67160,2201
67161,13931
67175,8471
67360,7719
67363,508
67364,3222
67365,5298
67366,30327
67367,18748
67368,41750
67369,104
67372,102
67375,1965
67377,201014
67379,9590
67381,4516
67382,19341
67383,39750
67384,73004
67385,117223
67386,7201
67387,16161
67388,30513
67389,51342
67390,1538
67395,5868
67396,7451
67422,26963
67423,35295
67424,95750
67425,3234
67447,43032
67448,98930
67449,75126
67450,74729
67451,111918
67452,37992
67453,29597
67454,14301
67455,10632
67456,33268
67458,4446
67459,42615
67460,3925
67461,922
67464,50123
67465,85395
67481,2007
67561,30097
67572,19555
67580,20499
67581,18462
67582,27361
67625,1820
67626,2610
67999,26159
68012,12267
68013,14110
68052,798
68053,9602
68054,1764
68055,100
68066,1165
68067,368
68250,6078
68251,75761
68252,100
68254,165
68255,11537
68256,19041
68257,12173
68258,23693
68259,25109
68260,356
68262,112
68268,123636
68269,7190
68270,228
68272,3834
68273,51169
68274,4367
68276,30719
68277,32900
68278,3786
68279,9957
68280,8652
68281,204
68286,2598
68287,3644
68311,42804
68312,300735
68313,187094
68314,170865
68315,47448
68336,15753
68337,31959
68338,115210
68339,563
68340,2459
68341,207
68342,608
68347,39147
68348,13298
68349,35105
68350,38104
68351,101
68354,5631
68355,10325
68356,7109
68357,12385
68358,6091
68366,12520
68367,17775
68372,3491
68374,59902
68375,17135
68451,34919
68452,24082
68461,36898
68462,16559
68463,45641
68465,10983
68470,26539
68471,10625
68472,450
68473,111782
68890,2390
68891,16251
68892,11858
