species,pu,amount
1,50547,1248391.070311
26,50547,1
48,50547,100000000
1,50548,707897.328282
26,50548,1
48,50548,100000000
1,50549,5321169.095204
26,50549,1
48,50549,100000000
1,50550,12464955.146456
26,50550,1
48,50550,100000000
1,50551,3858937.124763
26,50551,1
48,50551,100000000
1,50552,34102758.761006
26,50552,1
48,50552,100000000
1,50553,18794694.138731
26,50553,1
1,50554,3415270.076238
26,50554,1
1,50555,32229.891894
26,50555,1
1,50556,2860316.880242
26,50556,1
1,50557,571654.598363
26,50557,1
1,50558,2050906.156666
26,50558,1
1,50559,3560755.889827
26,50559,1
1,50560,2264961.239968
2,50560,1524556.842194
26,50560,1
1,50561,3257966.275447
2,50561,891813.414487
26,50561,1
1,50562,2059149.637783
26,50562,1
1,50563,3325488.047185
26,50563,1
1,50565,970308.394888
26,50565,1
1,50566,2165071.005369
26,50566,1
1,50567,1286555.902317
26,50567,1
1,50568,1174035.725906
26,50568,1
1,50569,1208833.576578
26,50569,1
50,50569,100000000
1,50570,3054997.324701
2,50570,1257023.526389
26,50570,1
50,50570,100000000
1,50571,4827089.083286
2,50571,4050837.213902
26,50571,1
50,50571,100000000
1,50572,5180976.980737
2,50572,2327988.022119
26,50572,1
50,50572,100000000
1,50633,1209341.67221
25,50633,1
1,50634,2385554.596481
25,50634,1
1,50708,4436090.531032
2,50708,1375417.193223
31,50708,1
1,50709,4466641.05716
2,50709,4251368.959544
31,50709,1
1,51430,677706.548287
26,51430,1
1,51431,2029340.034837
26,51431,1
1,51432,644766.218351
26,51432,1
1,51433,984228.405646
26,51433,1
1,51434,1987123.513454
26,51434,1
1,51435,1865817.936043
26,51435,1
48,51435,100000000
1,51436,4350181.844392
26,51436,1
48,51436,100000000
1,51437,238285.626678
26,51437,1
48,51437,100000000
1,51438,193901.376627
26,51438,1
48,51438,100000000
1,51439,688126.260926
26,51439,1
48,51439,100000000
1,51440,6920758.281707
26,51440,1
48,51440,100000000
1,51441,2289962.752332
26,51441,1
48,51441,100000000
26,51442,1
48,51442,100000000
1,51444,22455.193647
26,51444,1
1,51445,120590.959505
26,51445,1
1,51446,165666.893394
26,51446,1
1,51447,1906575.042253
26,51447,1
1,51448,951653.979209
26,51448,1
1,51449,2359474.337928
2,51449,2233475.492994
26,51449,1
1,51450,4861735.448509
2,51450,828379.109987
26,51450,1
1,51451,1162979.422527
2,51451,1352530.253415
26,51451,1
1,51452,3934854.470267
2,51452,157917.074432
26,51452,1
1,51453,449426.624717
26,51453,1
1,51459,136069.026092
26,51459,1
1,51599,2835770.120175
2,51599,659141.484472
31,51599,1
1,51600,4907003.925493
2,51600,1323932.873337
31,51600,1
1,52317,1548153.141529
26,52317,1
1,52318,2812468.131861
26,52318,1
1,52319,6469430.305174
26,52319,1
1,52320,1463818.215764
26,52320,1
1,52321,8038.634538
26,52321,1
1,52322,1678640.434089
26,52322,1
1,52323,1311216.350216
26,52323,1
1,52324,3251804.910995
26,52324,1
1,52325,1054878.758198
26,52325,1
1,52326,704396.876472
26,52326,1
48,52326,100000000
26,52327,1
48,52327,100000000
1,52331,2909073.848888
26,52331,1
48,52331,100000000
1,52332,2081110.662635
26,52332,1
48,52332,100000000
1,52333,464888.639384
26,52333,1
48,52333,100000000
1,52334,293838.533061
26,52334,1
48,52334,100000000
1,52335,1850178.937642
2,52335,110557.268377
26,52335,1
1,52336,1375684.084608
26,52336,1
1,52337,1643395.923256
26,52337,1
1,52338,667875.372718
26,52338,1
1,52339,532450.218558
26,52339,1
1,52340,1527303.513063
2,52340,1265814.239753
26,52340,1
1,52341,2606196.368125
2,52341,311209.634954
26,52341,1
1,52342,1261020.597424
26,52342,1
1,52343,270239.337418
26,52343,1
26,52346,1
26,52347,1
1,52895,857548.674734
3,52895,20257.594311
5,52895,40646.589175
6,52895,5615.652708
7,52895,501793.811894
8,52895,74534.089133
9,52895,39549.502854
10,52895,2853.28393
20,52895,1
48,52895,100000000
1,52896,1142494.50692
3,52896,32955.935381
5,52896,33646.877612
6,52896,60128.230946
7,52896,180220.596857
8,52896,153294.031225
9,52896,66849.326017
10,52896,1919.06981
20,52896,1
48,52896,100000000
1,53208,13316838.283941
26,53208,1
1,53209,29726946.255733
26,53209,1
1,53210,22986107.119641
26,53210,1
1,53212,5407885.046296
26,53212,1
1,53213,11266313.431979
26,53213,1
1,53214,7687738.644588
26,53214,1
1,53215,544373.997573
26,53215,1
48,53215,100000000
1,53224,254997.462714
26,53224,1
48,53224,100000000
1,53225,436458.510961
26,53225,1
1,53226,3085683.572627
2,53226,6249.163605
26,53226,1
1,53227,740485.173791
26,53227,1
1,53229,1055248.909118
26,53229,1
1,53230,687898.619442
26,53230,1
1,53231,239423.982855
26,53231,1
1,53235,3287210.740498
26,53235,1
1,53786,3415115.19596
3,53786,100745.97553
5,53786,169736.773782
6,53786,8704.00180399999
7,53786,2193764.12259
8,53786,1205904.065368
9,53786,553418.266534
10,53786,21507.576906
20,53786,1
48,53786,100000000
1,53787,3209831.352813
2,53787,3134.465662
3,53787,26383.63075
5,53787,953315.795157001
7,53787,2259089.712606
8,53787,730992.567998
9,53787,1851178.490671
10,53787,70974.526861
20,53787,1
48,53787,100000000
1,53788,3197635.09042
2,53788,1135444.362787
3,53788,29025.899573
5,53788,2070361.916401
7,53788,5514563.676889
8,53788,769511.841565
9,53788,3657087.119875
10,53788,427006.568026
20,53788,1
48,53788,100000000
1,54097,16331852.114616
26,54097,1
48,54097,100000000
1,54098,3362921.609642
26,54098,1
48,54098,100000000
1,54100,1272346.945464
26,54100,1
1,54101,851702.209637
26,54101,1
1,54117,264531.711264
26,54117,1
1,54118,1579589.337225
26,54118,1
1,54119,886813.420028
26,54119,1
1,54120,31175.247791
26,54120,1
1,54126,1128397.835499
26,54126,1
1,54227,163276.839738
25,54227,1
50,54227,100000000
1,54660,8723445.866762
3,54660,169420.508284
5,54660,192915.829992
7,54660,162597.103816
8,54660,286596.385054
10,54660,51002.304446
20,54660,1
1,54675,607791.054226
3,54675,10580.485005
5,54675,552067.344396
7,54675,1183162.30555
8,54675,416014.438692
9,54675,823099.098722
10,54675,97462.758008
20,54675,1
48,54675,100000000
1,54676,360837.741484
3,54676,83571.442608
5,54676,3546519.458223
7,54676,2554577.110022
8,54676,791921.042477
9,54676,1395495.683874
10,54676,228762.223115
20,54676,1
48,54676,100000000
1,54677,3579877.677049
2,54677,1659118.201611
3,54677,62790.7277699999
5,54677,472797.6717
7,54677,3065762.58147
8,54677,643712.389439
9,54677,6401325.007479
10,54677,14795.329368
20,54677,1
48,54677,100000000
2,54678,2227214.273331
20,54678,1
48,54678,100000000
1,54679,1211455.213392
2,54679,360512.089517
3,54679,16820.73127
5,54679,4482633.24226
6,54679,703892.101824
7,54679,9546025.477662
9,54679,47461.260233
10,54679,123278.6162
20,54679,1
48,54679,100000000
1,54680,4112137.373422
2,54680,442064.938282
3,54680,75380.861109
5,54680,2347885.169453
7,54680,2648156.8792
8,54680,106696.022369
9,54680,115772.857139
10,54680,226195.727852
20,54680,1
48,54680,100000000
1,54681,1514763.06312
2,54681,501651.666754
5,54681,131441.476225
7,54681,25345.982914
10,54681,625.724319
20,54681,1
1,54682,1653569.867683
2,54682,55198.343039
3,54682,85340.082948
5,54682,46179.24355
7,54682,326795.91148
8,54682,9668.393831
9,54682,881.394283
20,54682,1
29,54971,1
1,54983,3521529.341282
29,54983,1
1,54984,9434349.644146
29,54984,1
48,54984,100000000
1,54988,21267921.5633
26,54988,1
48,54988,100000000
1,54989,19480675.22391
26,54989,1
48,54989,100000000
1,54991,379521.853748
26,54991,1
1,54992,6571787.157177
26,54992,1
1,54999,43191.672079
26,54999,1
48,54999,100000000
1,55000,420922.684997
26,55000,1
48,55000,100000000
1,55001,462326.238445
26,55001,1
48,55001,100000000
1,55004,118121.228751
26,55004,1
48,55004,100000000
1,55005,98690.694123
26,55005,1
48,55005,100000000
1,55006,50138.99546
26,55006,1
48,55006,100000000
1,55007,4499.210049
26,55007,1
48,55007,100000000
1,55008,652070.213757
26,55008,1
1,55013,3643293.125847
26,55013,1
1,55014,13125996.424663
26,55014,1
1,55015,3678391.488585
26,55015,1
1,55042,968733.330722
26,55042,1
1,55043,826371.809748
26,55043,1
1,55044,972730.724637
26,55044,1
1,55114,853627.61967
25,55114,1
50,55114,100000000
1,55115,442802.305318
25,55115,1
50,55115,100000000
1,55116,3510981.935221
2,55116,1259028.115678
25,55116,1
50,55116,100000000
1,55117,2937351.595172
2,55117,2794879.203899
25,55117,1
50,55117,100000000
1,55118,2467381.416038
25,55118,1
50,55118,100000000
1,55119,2237568.975226
25,55119,1
50,55119,100000000
1,55155,1675269.993935
31,55155,1
1,55156,1844656.833264
31,55156,1
1,55157,690199.217369
31,55157,1
1,55158,887670.64484
31,55158,1
1,55159,454932.015616
31,55159,1
1,55566,33195.913966
3,55566,12341.966957
5,55566,1021751.208862
7,55566,1036117.873775
8,55566,731609.83324
9,55566,507672.085759
